id. Response ID	groupsInvolved[res]. In your research processes, did you actively involve one or more of the following groups(*)? [researchers from other disciplines]	groupsInvolved[busi]. In your research processes, did you actively involve one or more of the following groups(*)? [company/business representatives (incl. farmers)]	groupsInvolved[civsoc]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives of NGOs, advocacy or other civil society groups]	groupsInvolved[policy]. In your research processes, did you actively involve one or more of the following groups(*)? [policy makers, public administrations, representatives from governmental agencies]	groupsInvolved[citiz]. In your research processes, did you actively involve one or more of the following groups(*)? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	groupsInvolved[media]. In your research processes, did you actively involve one or more of the following groups(*)? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	groupsInvolved[welfare]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	natureOfInvolvement[res]. What was the nature of involvement of those groups? [researchers from other disciplines]	natureOfInvolvement[busi]. What was the nature of involvement of those groups? [company/business representatives (incl. farmers)]	natureOfInvolvement[civsoc]. What was the nature of involvement of those groups? [ representatives of NGOs, advocacy or other civil society groups]	natureOfInvolvement[policy]. What was the nature of involvement of those groups? [ policy makers, public administrations, representatives from governmental agencies]	natureOfInvolvement[citiz]. What was the nature of involvement of those groups? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	natureOfInvolvement[media]. What was the nature of involvement of those groups? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	natureOfInvolvement[welfare]. What was the nature of involvement of those groups? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[pub]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [the general population]	impactTargetGroup[busi]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [businesses]	impactTargetGroup[socgr]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [specific social groups (e.g. women/men/non-binary, youth/elderly; migrants; or minorities/indigenous people)]	impactTargetGroup[welfare]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [welfare- and education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[civsoc]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [NGOs, advocacy or other civil society groups]	impactTargetGroup[policy]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [policy-making, public administration, governmental agencies]	impactTargetGroup[acad]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [academia ]	kindOfChange[pub]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [the general population]	kindOfChange[busi]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [businesses]	kindOfChange[socgr]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [specific social groups]	kindOfChange[welfare]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [welfare- and education-providing institutions]	kindOfChange[civsoc]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [NGOs, advocacy or other civil society groups]	kindOfChange[policy]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [policy-making, public administration, governmental agencies]	kindOfChange[acad]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [academia]
24	quite centrally	quite centrally	quite centrally	only marginally	quite centrally	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	4	8	2	2	2	2	8	changing awareness	changing behaviour					changing understanding
25	quite centrally	no	no	only marginally	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		4	2	0	0	0	7	10	changing awareness					changing behaviour	changing understanding
26	only marginally	no	no	no	no	no	no								3	0	0	0	0	3	7	changing understanding					changing awareness	other
27	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							5	10	0	3	0	0	10	other	changing understanding		other			changing understanding
28	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
29	only marginally	no	no	only marginally	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				2	5	0	0	5	7	9		changing awareness			changing understanding	changing behaviour	changing behaviour
30	only marginally	no	no	only marginally	no	only marginally	only marginally	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	1	0	0	0	0	1	3							changing understanding
31	no	no	no	no	no	no	no								0	0	0	0	0	0	9							changing understanding
32	no	no	no	no	no	no	no								0	0	0	0	0	0	1							
33	no	no	no	no	no	no	no								4	2	0	0	0	0	10							changing understanding
34	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		2	1	0	0	0	0	7							changing understanding
35	quite centrally	only marginally	quite centrally	only marginally	quite centrally	quite centrally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)		10	0	10	3	6	3	8	changing understanding		changing awareness	changing understanding	changing awareness	changing understanding	changing awareness
37	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	10	0	0	2				changing attitude			
38	only marginally	no	no	no	only marginally	only marginally	only marginally	consultative (provide information via interviews, online questionnaires, etc.)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	3	0	3	3	0	0	10	changing understanding		changing understanding	changing understanding			changing understanding
39	only marginally			only marginally	quite centrally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)			consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		5	0	0	0	0	0	10	changing understanding						changing understanding
41	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	7							changing understanding
42	only marginally	no	no	no	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		2	1	5	3	1	1	5							
43	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	5							changing understanding
45	quite centrally	no	quite centrally	only marginally	quite centrally	no	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	2	1	10	8	8	7	7			changing understanding	changing awareness	changing awareness	changing awareness	changing understanding
46	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		3	2	0	0	4	3	7	changing attitude				changing awareness	changing awareness	changing attitude
48	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							5	0	0	8	0	0	8	changing understanding			changing understanding			changing understanding
49	quite centrally	no	no	no	only marginally	no	no	co-created (collaborative + participated in designing study and/or determining objectives)				consultative (provide information via interviews, online questionnaires, etc.)			6	0	1	6	0	0	8				changing understanding			changing understanding
50	quite centrally	no	no	no	no	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	6	1	1	1	0	0	8	changing understanding						changing understanding
52	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							3	0	0	0	0	0	10	changing understanding						changing understanding
53	only marginally	no	no	only marginally	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		1	0	0	1	0	1	3							changing understanding
54	only marginally		quite centrally	quite centrally				consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				0	0	0	0	6	4	7					changing understanding	changing attitude	changing understanding
55	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							0	0	0	0	0	5	5						changing understanding	changing understanding
57	no	no	no	no	no	no	no								0	0	0	0	0	0	5							changing understanding
58	quite centrally	no	only marginally	quite centrally	quite centrally	quite centrally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	8	0	5	5	5	8	10	changing understanding		changing behaviour	changing understanding	changing understanding	changing behaviour	other
61	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	5							changing behaviour
62	only marginally		only marginally	quite centrally				collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				2	0	10	0	2	5	0			changing behaviour			changing behaviour	
63	only marginally	no	no	no	no	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)						collaborative (contributory + interpreting data and/or drawing conclusions)	3	1	0	0	0	0	1	changing understanding						
64	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
65	only marginally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						1	5	0	0	0	0	1		changing awareness					
66	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
67	quite centrally	quite centrally	no	no	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		4	0	4	5	0	0	6	changing attitude		changing behaviour	changing behaviour			changing attitude
68	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							8	3	0	0	0	0	5	other	other					changing understanding
69	quite centrally	no	no	no	only marginally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				collaborative (contributory + interpreting data and/or drawing conclusions)			5	0	5	1	0	0	9	changing understanding		changing attitude				changing awareness
70	only marginally	no	no	no	quite centrally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			2	1	1	1	1	1	8							changing understanding
71	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							3	3	0	0	0	0	10	changing behaviour	changing behaviour					changing understanding
72	quite centrally	no	no	no	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)					consultative (provide information via interviews, online questionnaires, etc.)		3	0	0	0	7	3	10	changing awareness				changing awareness	changing awareness	changing understanding
73	quite centrally	only marginally	only marginally	only marginally	quite centrally	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	6	5	7	1	7	6	8	changing understanding	changing awareness	changing awareness		changing awareness	changing understanding	changing understanding
74	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
78	no	no	no	no	no	no	no								0	0	0	0	0	2	10							changing understanding
79	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							5	0	5	0	5	5	10	changing understanding		changing understanding		changing understanding	changing understanding	changing understanding
80	quite centrally	only marginally	only marginally	only marginally	quite centrally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		2	2	1	1	7	7	8					changing awareness	changing awareness	changing awareness
81	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	1	9							changing understanding
82	only marginally	no	no	no	only marginally	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	1	0	1	0	0	0	5							changing understanding
83	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							5	5	0	0	0	5	8	changing behaviour	changing attitude				changing attitude	changing awareness
84	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	7							changing understanding
85	quite centrally	no	no	only marginally	only marginally	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	7	2	5	6	5	7	8	changing understanding		changing understanding	changing awareness	changing understanding	changing awareness	changing awareness
86	no	no	no	no	no	no	no								2	2	2	2	2	2	7							changing understanding
87	only marginally	only marginally	only marginally	no	only marginally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					4	3	0	0	3	3	9	other	other			other	other	changing understanding
88	only marginally	only marginally	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		3	4	2	3	2		7	changing awareness	changing attitude		changing understanding			changing understanding
89	only marginally	only marginally	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						2	3	1	2	1	7	8		changing awareness				other	changing understanding
90	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	4	0	0	0	6			other				changing understanding
91	no	no	no	no	no	no	no								5	3	7	0	0	0	10	changing understanding	changing understanding	changing understanding				changing understanding
92	only marginally	no	only marginally	no	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)		collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)		2	0	7	0	7	3	7			changing awareness		changing behaviour	changing understanding	changing understanding
93	only marginally	only marginally	quite centrally	no	only marginally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			0	0	0	0	0	0	0							
94	only marginally	only marginally	no	no	no	no	only marginally	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)					consultative (provide information via interviews, online questionnaires, etc.)	1	1	0	0	0	0	7							other
95	no	no	no	no	no	no	no								0	0	0	0	0	0	8							changing understanding
96	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	10							changing understanding
97	no	no	no	no	no	no	no								0	0	0	0	0	0	5							changing awareness
98	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		0	5	0	0	0	0	10		other					changing attitude
99	no	no	no	no	no	no	no								2	0	0	2	0	0	10							changing understanding
100	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							1	0	0	0	0	0	10							changing understanding
101	only marginally	no	no	no	no	no	no								0	0	0	0	0	0	2							
102	quite centrally	no	no	no	no	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	0	0	0	10							changing understanding
103	no	no	no	only marginally	no	only marginally	no				consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		2	3	0	0	0	8	8		changing awareness				changing behaviour	changing awareness
104	quite centrally	no	no	no	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		5	2	0	0	0	6	10	changing awareness					changing behaviour	changing understanding
105	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	7							changing understanding
106	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
107	quite centrally	only marginally	no	no	quite centrally	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		collaborative (contributory + interpreting data and/or drawing conclusions)	7	3	8	1	1	2	4	changing behaviour	changing attitude	changing behaviour				changing behaviour
108	only marginally	no	only marginally	only marginally	no	no	quite centrally	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	8	3	4	8				changing attitude	changing behaviour	changing attitude	changing awareness
109	no	no	no	no	no	no	no								0	0	0	0	0	0	3							changing understanding
110	only marginally	no	quite centrally	quite centrally	no	no	only marginally	consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	3	1	4	3	4	4	5	changing awareness		changing awareness	changing awareness	changing attitude	changing attitude	changing understanding
111	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							4	0	3	5	0	0	2	changing behaviour		changing behaviour	changing behaviour			
112	quite centrally	only marginally	no	no	no	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	5	2	0	0	0	0	5	changing understanding						changing understanding
113	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
114	only marginally		quite centrally	only marginally	quite centrally	only marginally	quite centrally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	1	0	8	8	9	4	8			changing understanding	changing awareness	changing behaviour	changing understanding	changing understanding
115	quite centrally	quite centrally	no	no	quite centrally	no	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		co-created (collaborative + participated in designing study and/or determining objectives)	10	10	1	2	1	1	10	changing awareness	changing awareness					changing awareness
116	no	no	no	no	no	no	no								0	1	0	0	0	0	8							changing understanding
117	only marginally	no	no	quite centrally	no	quite centrally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	7	0	7	8	2	8	9	changing awareness		changing awareness	changing behaviour		changing behaviour	changing behaviour
118	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							2	0	2	0	2	2	2							
